Node Number,X Location (mm),Y Location (mm),Z Location (mm),Total Deformation (mm)
1,136.86,-489.64,-768.08,0
2,131.61,-476.65,-754.45,0
3,127.47,-458.59,-748.24,0
4,125.47,-439.41,-751.25,0
5,126.15,-423.85,-762.99,0
6,129.33,-415.73,-780.47,0
7,134.17,-416.63,-799.38,0
8,139.56,-426.03,-815.66,0
9,144.39,-441.96,-825.9,0
10,147.57,-461.15,-827.61,0
11,148.26,-479.11,-820,0
12,146.25,-491.3,-804.89,0
13,142.12,-494.95,-786.15,0
67,136.86,-420.36,808.08,0
68,131.61,-415.05,790.01,0
69,127.47,-418.7,771.27,0
70,125.47,-430.89,756.16,0
71,126.15,-448.85,748.56,0
72,129.33,-468.04,750.27,0
73,134.17,-483.97,760.5,0
74,139.56,-493.37,776.78,0
75,144.39,-494.27,795.7,0
76,147.57,-486.15,813.17,0
77,148.26,-470.59,824.92,0
78,146.25,-451.41,827.92,0
79,142.12,-433.35,821.72,0
1002,136.86,910,-40,0
1003,131.61,891.7,-35.566,0
1004,127.47,877.29,-23.029,0
1005,125.47,870.3,-4.9178,0
1006,126.15,872.69,14.434,0
1007,129.33,883.77,30.199,0
1008,134.17,900.6,38.88,0
1009,139.56,919.4,38.881,0
1010,144.39,936.23,30.199,0
1011,147.57,947.31,14.434,0
1012,148.26,949.7,-4.9178,0
1013,146.25,942.71,-23.029,0
1014,142.12,928.3,-35.567,0
1015,487.39,-873.55,1513,0.025886
1016,487.39,-856.18,1522.9,0.025864
1017,487.39,-838.69,1532.6,0.025798
1018,487.39,-821.1,1542.1,0.025688
1019,487.39,-803.4,1551.4,0.025529
1020,487.39,-785.59,1560.5,0.025321
1021,487.39,-767.68,1569.4,0.025068
1022,487.39,-749.67,1578.1,0.024773
1023,487.39,-731.56,1586.6,0.024444
1024,487.39,-713.35,1594.8,0.024079
1025,487.39,-695.05,1602.9,0.023681
1026,487.39,-676.66,1610.7,0.023251
1027,487.39,-658.18,1618.4,0.022789
1028,487.39,-639.62,1625.8,0.022298
1029,487.39,-620.97,1633,0.021781
1030,487.39,-602.24,1640,0.021244
1031,487.39,-583.43,1646.8,0.020692
1032,487.39,-564.55,1653.4,0.020123
1033,487.39,-545.59,1659.7,0.019542
1034,487.39,-526.56,1665.9,0.01895
1035,487.39,-507.46,1671.8,0.018345
1036,487.39,-488.29,1677.5,0.01773
1037,487.39,-469.06,1683,0.017103
1038,487.39,-449.77,1688.2,0.016465
1039,487.39,-430.42,1693.3,0.015808
1040,487.39,-411.01,1698.1,0.015129
1041,487.39,-391.55,1702.7,0.014427
1042,487.39,-372.04,1707,0.013701
1043,487.39,-352.48,1711.2,0.012951
1044,487.39,-332.87,1715.1,0.012178
1045,487.39,-313.22,1718.8,0.011386
1046,487.39,-293.53,1722.3,0.010576
1047,487.39,-273.8,1725.5,0.0097481
1048,487.39,-254.04,1728.5,0.0089117
1049,487.39,-234.24,1731.3,0.0080745
1050,487.39,-214.41,1733.9,0.0072473
1051,487.39,-194.55,1736.2,0.006447
1052,487.39,-174.67,1738.4,0.0057003
1053,487.39,-154.76,1740.2,0.0050455
1054,487.39,-134.83,1741.9,0.0045318
1055,487.39,-114.89,1743.3,0.0042281
1056,487.39,-94.931,1744.5,0.004193
1057,487.39,-74.959,1745.5,0.0044403
1058,487.39,-54.978,1746.2,0.0049333
1059,487.39,-34.989,1746.8,0.0056107
1060,487.39,-14.996,1747,0.0064139
1061,487.39,4.9988,1747.1,0.0073005
1062,487.39,24.993,1746.9,0.0082467
1063,487.39,44.984,1746.5,0.0092302
1064,487.39,64.97,1745.9,0.010234
1065,487.39,84.946,1745,0.011246
1066,487.39,104.91,1744,0.012262
1067,487.39,124.86,1742.6,0.013275
1068,487.39,144.8,1741.1,0.014281
1069,487.39,164.72,1739.3,0.015274
1070,487.39,184.61,1737.3,0.016258
1071,487.39,204.48,1735.1,0.017225
1072,487.39,224.33,1732.6,0.018166
1073,487.39,244.14,1730,0.019078
1074,487.39,263.92,1727.1,0.019959
1075,487.39,283.67,1723.9,0.020808
1076,487.39,303.38,1720.6,0.021621
1077,487.39,323.05,1717,0.022401
1078,487.39,342.68,1713.2,0.023147
1079,487.39,362.27,1709.1,0.023849
1080,487.39,381.8,1704.9,0.024506
1081,487.39,401.29,1700.4,0.025116
1082,487.39,420.72,1695.7,0.025683
1083,487.39,440.1,1690.8,0.026215
1084,487.39,459.42,1685.6,0.026722
1085,487.39,478.68,1680.2,0.027209
1086,487.39,497.88,1674.7,0.027668
1087,487.39,517.01,1668.9,0.028093
1088,487.39,536.08,1662.8,0.028483
1089,487.39,555.08,1656.6,0.028837
1090,487.39,574,1650.1,0.029157
1091,487.39,592.85,1643.4,0.029451
1092,487.39,611.61,1636.6,0.029726
1093,487.39,630.3,1629.4,0.029978
1094,487.39,648.91,1622.1,0.030205
1095,487.39,667.43,1614.6,0.030409
1096,487.39,685.87,1606.8,0.03059
1097,487.39,704.21,1598.9,0.030749
1098,487.39,722.46,1590.7,0.030887
1099,487.39,740.62,1582.4,0.031013
1100,487.39,758.68,1573.8,0.031126
1101,487.39,776.64,1565,0.031224
1102,487.39,794.5,1556,0.031303
1103,487.39,812.26,1546.8,0.031365
1104,487.39,829.91,1537.4,0.031408
1105,487.39,847.45,1527.8,0.031434
1106,487.39,864.88,1518,0.031445
1107,487.39,882.2,1508,0.031446
1108,487.39,899.4,1497.8,0.031435
1109,487.39,916.48,1487.4,0.03141
1110,487.39,933.44,1476.8,0.031366
1111,487.39,950.28,1466.1,0.031305
1112,487.39,967,1455.1,0.031226
1113,487.39,983.59,1443.9,0.03113
1114,487.39,1000,1432.6,0.031017
1115,487.39,1016.4,1421,0.030892
1116,487.39,1032.6,1409.3,0.030754
1117,487.39,1048.6,1397.4,0.030597
1118,487.39,1064.6,1385.3,0.030417
1119,487.39,1080.3,1373,0.030214
1120,487.39,1096,1360.6,0.029986
1121,487.39,1111.5,1347.9,0.029734
1122,487.39,1126.8,1335.1,0.029458
1123,487.39,1142,1322.2,0.029162
1124,487.39,1157.1,1309,0.028839
1125,487.39,1172,1295.7,0.028483
1126,487.39,1186.8,1282.2,0.028093
1127,487.39,1201.4,1268.5,0.027667
1128,487.39,1215.8,1254.7,0.027209
1129,487.39,1230.1,1240.7,0.026722
1130,487.39,1244.2,1226.5,0.026216
1131,487.39,1258.1,1212.2,0.025685
1132,487.39,1271.9,1197.7,0.025117
1133,487.39,1285.6,1183.1,0.024506
1134,487.39,1299,1168.3,0.02385
1135,487.39,1312.3,1153.4,0.023147
1136,487.39,1325.4,1138.3,0.022401
1137,487.39,1338.4,1123,0.021621
1138,487.39,1351.1,1107.6,0.020807
1139,487.39,1363.7,1092.1,0.019958
1140,487.39,1376.1,1076.4,0.019077
1141,487.39,1388.4,1060.6,0.018166
1142,487.39,1400.4,1044.6,0.017227
1143,487.39,1412.3,1028.5,0.016262
1144,487.39,1423.9,1012.3,0.015278
1145,487.39,1435.4,995.95,0.014285
1146,487.39,1446.7,979.45,0.01328
1147,487.39,1457.9,962.83,0.012267
1148,487.39,1468.8,946.08,0.01125
1149,487.39,1479.5,929.21,0.010238
1150,487.39,1490,912.22,0.0092342
1151,487.39,1500.4,895.11,0.0082514
1152,487.39,1510.5,877.88,0.0073049
1153,487.39,1520.5,860.53,0.0064167
1154,487.39,1530.2,843.08,0.0056116
1155,487.39,1539.8,825.51,0.0049335
1156,487.39,1549.1,807.83,0.0044404
1157,487.39,1558.3,790.05,0.0041933
1158,487.39,1567.2,772.16,0.0042287
1159,487.39,1575.9,754.18,0.0045325
1160,487.39,1584.5,736.09,0.0050459
